id,parent_id,tipo,sku,nombre,old_stock,new_stock,new_status,motivo
18863,18861,variation,713101732137,ULTRA VEGANA STRAWERRY ICE CREAM 3 LBS IMPULSE,15,15,instock,inventario
18862,18861,variation,713101732113,ULTRA VEGANA VAINILLA 3 LBS IMPULSE,30,30,instock,inventario
18935,18932,variation,7503018110479,WHEY PROTEIN 5 LBS CHOCO COCO,17,17,instock,inventario
18934,18932,variation,7503013595776,WHEY PROTEIN 5 LBS DUTCH CHOCOLATE,14,15,instock,inventario
18939,18933,variation,7503013595868,WHEY PRO DUT CHOCOLATE 2 LBS,6,6,outofstock,inventario
18942,18941,variation,7503018110578,LEAN GAINER 12 LIBRAS DUTCH CHOCOLATE,4,4,outofstock,inventario
18929,18927,variation,7503029522926,LEAN GAINER 8 LBS DUTCH CHOCOLATE,1,1,outofstock,inventario
18928,18927,variation,7500634002065,LEAN GAINER 8 LIBRAS VAINILLA,2,2,outofstock,inventario
19123,19121,variation,850049150651,INT-WHEY-BLEND-COOKIES-CREAM-F L - 5LB (PROTEINA BLEND),4,4,outofstock,inventario
18958,18955,variation,631656716979,MASS TECH -EXTREME 2000- VAINILLA 2000 6 LBS MUSCLETECH,21,21,instock,inventario
18957,18955,variation,631656716962,MASS TECH EXTREME 2000-6 LBS TRIPLE CHOCOLATE BROWNIE,36,36,instock,inventario
18961,18960,variation,631656259957,MAS TECH EXTREME 2000- VAINILLA MILK SHAKE 12 LIBRAS,2,2,outofstock,inventario
18964,18963,variation,631656709568,NITRO TECH CHOCOLATE RIPPED FUDGE BROWNIE 4 LBS MUSCLETECH,0,0,outofstock,inventario
18969,18966,variation,631656703313,NITRO TECH- WHEY COOKIES AND CREAMS 4 LBS MUSCLETECH,0,0,outofstock,inventario
18968,18966,variation,631656703283,NITRO TECH WHEY MILK CHOCOLATE 4 LBS MUSCLETECH,1,1,outofstock,inventario
18953,18946,variation,829263000028,NITRO UP BLEND 5 LBS - COOKIES & CREAM - MUSCLEOLOGY,7,7,instock,inventario
18952,18946,variation,829263000066,NITRO UP BLEND VAINILLA 5 LBS - MUSCLEOLOGY,8,8,instock,inventario
