sku,nombre,tipo,wc_stock,wc_status,inv_stock,nuevo_status,diferencia,cambiara
842595134971,C4 PERFORMANCE ENERGY 16OZ GREEN APPLE JOLLY RANCHER,variation,84,instock,84,instock,0,no
8101210579694,EVP 3D JUCY GRAPPE EVOGEN,variation,8,instock,9,instock,1,SI
810139574170,MAGNESIUM CITRATE 60 CAPSULAS,simple,73,instock,73,instock,0,no
612590415777,MULTI PAHSE MULTIVITAMIN 90 CAPSULAS- LANDERFIT,simple,26,instock,26,instock,0,no
799142775005,AMINO REVOLUTION + ELECTROLITROS COCONUT 30 SERVI-LANDERFIT,variation,3,instock,3,outofstock,0,SI
810121055908,CARNIGEN PREMIUN LIQUID VICTORY PUNCH-EVOGEN,variation,21,instock,21,instock,0,no
748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,variation,509,instock,509,instock,0,no
748927060133,GOLD STANDAR WHEY VAINILLA ICE CREAM 1.5 LBS 22 SERVING,variation,7,instock,6,outofstock,-1,SI
748927026665,AMINO ENERGY FRUIT FUSION 270 G,variation,135,instock,135,instock,0,no
829263000066,NITRO UP BLEND VAINILLA 5 LBS - MUSCLEOLOGY,variation,8,instock,8,instock,0,no
810014673165,CHROMIO PICOLINATE 10000 MG 240 CAPSULAS,simple,4,instock,4,outofstock,0,SI
829263210137,CATEGORY 5 - CREATINA POWDER STIM FREE PREWORKOUT - MUSCLEOLOGY,simple,30,instock,30,instock,0,no
745560722022,"GLUTA MAX GLUTAMINA MICRONISADA, 80 SERV. 400G (UNFLAVORED) IMPULSE",simple,18,instock,13,instock,-5,SI
842595134964,C4 PERFORMANCE ENERGY 16OZ WATERMELON JOLLY RANCHER,variation,108,instock,108,instock,0,no
810121058015,CELL K.E.M PEACH RING,variation,3,instock,3,outofstock,0,SI
810121056721,ISOJECT ICE CREAM SANDWICH 1.82 LBS ISOJET EVOGEN,variation,6,instock,6,outofstock,0,SI
745560722138,PROLIVE BIO5 VAINILLA DE 5 LB IMPULSE,variation,232,instock,232,instock,0,no
