id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage
21119,21118,variation,608631655288,AMINO ESENCIAL 52 SERVIN 20 GRAMOS PINK LEMONADE IMPULSE,2,2,outofstock,instock,True
20472,20464,variation,842595121759,C4 PERFORMANCE ENERGY 16OZ STRAWBERRY BLAST,86,86,instock,instock,True
19753,19744,variation,810121056462,ISOJECT COOKIES AND CREAM 1.82 ISOJET EVOGEN,0,0,outofstock,outofstock,True
19757,19744,variation,810121056721,ISOJECT ICE CREAM SANDWICH 1.82 LBS ISOJET EVOGEN,4,4,outofstock,instock,True
19432,19430,variation,810121058015,CELL K.E.M PEACH RING,3,3,outofstock,instock,True
19236,19235,variation,817189028998,ISOJECT COOKIE AND CREAM 4 LBS EVOGEN,3,3,outofstock,instock,True
21120,21118,variation,608631655271,AMINO ESENCIAL 52 SERV. 520G BERRY ICE TEA IMPULSE,8,8,instock,instock,True
19782,19778,variation,859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,14,14,instock,instock,True
19057,19055,variation,860008634467,PROTEIN COOKIE PEANUT BUTTER,72,72,instock,instock,True
14440,0,simple,612590416200,ULTRA GLUTAMINA 60 SERVING- LANDERFIT,6,6,outofstock,instock,True
19002,19000,variation,860007448928,RAW-SLEEP-MIXED BERRY (SOPORTE PARA UN MEJOR SUEÑO REPARADOR),19,19,instock,instock,True
19255,19253,variation,810121057995,AMINO K.E.M CITRUS CANDY- EVOGEN,7,7,instock,instock,True
19227,19225,variation,705016353231,ISO 100 FUDGE BROWNIE 3 LIBRAS DYMATIZE,6,6,outofstock,instock,True
19085,19081,variation,748927060607,AMINO ENERGY RTD SPARLING AE JUCY STRAWERRY OPTIMUN NUTRICION,152,152,instock,instock,True
18194,18186,variation,608631655486,PROLIVE BIO5 CAPUCHINO 5 LIBRAS IMPULSE,247,246,instock,instock,True
8690,0,simple,853237000202,NUTREX LIPO-6 CLA 45CT NUTREX,3,3,outofstock,instock,True
11853,0,simple,817189029032,CREATINA MICRONIZADA MONOHIDRATADA 60SERV. EVOGEN,55,55,instock,instock,True
20465,20464,variation,842595111071,C4 PERFORMANCE16OZ CHERRYLIMEADE,110,110,instock,instock,True
19280,19277,variation,810121057018,HIDRATACION TANGERINE 30M SERVING,19,19,instock,instock,True
19818,19817,variation,748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,44,44,instock,instock,True
19257,19253,variation,810121054857,AMINO K.E.M VICTORY PUNCHS- EVOGEN,3,3,outofstock,instock,True
11861,0,simple,810121056486,BETA-ALANINE EVOGEN,20,20,instock,instock,True
19316,19304,variation,817189025386,EVP 3D SOUR WATERMELON- EVOGEN,6,6,outofstock,instock,True
19011,19008,variation,612590415845,"PREMIUM WHEY STRAWBERRY 2,06 LBS-LANDERFIT",1,1,outofstock,instock,True
20477,20464,variation,842595111095,C4 PERFORMANCE ENERGY 16OZ MIDNIGTH CHERRY,66,66,instock,instock,True
19431,19430,variation,7503029523005,CELL K.E.M PR V.2 TROPIC THUNDER -EVOGEN,15,15,instock,instock,True
9203,0,simple,799142775395,MUSCLE PUMP FRUIT PUNCH 30 SERV LANDERFIT,4,4,outofstock,instock,True
13114,0,simple,850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,413,412,instock,instock,True
19308,19304,variation,810121057971,EVP 3D CITRUS CANDY- EVOGEN,6,6,outofstock,instock,True
11858,0,simple,810121055113,VITAMIN D3 EVOGEN,40,40,instock,instock,True
19801,19800,variation,850026029079,WHEY 100 % CHOCOLATE 2 LBS 26 SERVING NUTREX,21,21,instock,instock,True
20449,20442,variation,842595135558,C4 PERFORMANCE 16OZ TROPICAL TUNDRA FROST,60,60,instock,instock,True
20388,19205,variation,705016358205,ISO 100 VAINILLA 20 SERV. 1.34 LBS DYMATIZE,199,199,instock,instock,True
19243,19242,variation,817189022750,EVOFUSION VANILLA BEAN ICE CREAM 4.6 LBS EVOGEN,1,1,outofstock,instock,True
19305,19304,variation,8101210579694,EVP 3D JUCY GRAPPE EVOGEN,9,9,instock,instock,True
19294,19289,variation,817189020206,GLYCOJECT DE 2LB WILD BERRY EVOGEN,6,6,outofstock,instock,True
