id,parent,tipo,sku,nombre,old_stock,new_stock,new_status,old_status,manage,aplicado
20467,20464,variation,842595131291,C4 PERFORMANCE 16OZ HAWAIIAN PINEAPLE,3271,3271,instock,instock,True,no_omitido
13375,0,simple,713325974009,DHEA 180 CAPSULAS,11,11,instock,instock,True,no_omitido
21119,21118,variation,608631655288,AMINO ESENCIAL 52 SERVIN 20 GRAMOS PINK LEMONADE IMPULSE,3,3,outofstock,instock,True,si
19306,19304,variation,810121058954,EVP 3D BLACK LEMONADE-EVOGEN,9,9,instock,instock,True,no_omitido
12945,0,simple,745560721971,RAPTOR X5 FRUIT PUNCH IMPULSE,3,3,outofstock,instock,True,si
19850,19843,variation,748927063646,AMINO ENERGY WILD BERRY 270 G,1,1,outofstock,instock,True,si
19279,19277,variation,810121057001,HIDRATACION WATERMELON,11,11,instock,instock,True,no_omitido
13154,0,simple,7500634000528,CREATINAMONOHIDRATADA 72 SERVING,59,59,instock,instock,True,no_omitido
13384,0,simple,810014679488,RESVERATROL 700 MG 120 CAPSULA,17,17,instock,instock,True,no_omitido
19818,19817,variation,748927028614,GOLD STANDARD WEY DOBLE RICH CHOCOLATE 2 LB,44,44,instock,instock,True,no_omitido
20409,11808,variation,891597006113,RTD CARNIVOR 500ML VAINILLA (MUSCLE MEDS),847,833,instock,instock,True,si
93,0,simple,745560722206,THERMOBLAST M5 (FAT BURNER) 120 CAPS (QUEMADOR HOMBRE) IMPULSE,3,3,outofstock,instock,True,si
11255,0,simple,850030689450,VITAMIN D3 REVIVE,101,101,instock,instock,True,no_omitido
18193,18186,variation,745560722169,PROLIVE BIO5 CHOCO COCO DE 5 LBS IMPULSE,1,1,outofstock,instock,True,si
20408,11808,variation,891597006427,RTD CARNIVOR SALTED CARAMEL 500ML (MUSCLE MEDS),824,801,instock,instock,True,si
18874,18869,variation,745560722183,L CARNITINA 3500 FRUIT PONCHS IMPULSE,4,4,outofstock,instock,True,si
19262,19253,variation,817189024532,AMINO K.E.M SOUR WATERMELON- EVOGEN,8,8,instock,instock,True,no_omitido
18190,18186,variation,745560722145,PROLIVE BIO5 STRAWBERRY ICE CREAN 5 LBS IMPULSE,318,318,instock,instock,True,no_omitido
14431,0,simple,612590415777,MULTI PAHSE MULTIVITAMIN 90 CAPSULAS- LANDERFIT,26,26,instock,instock,True,no_omitido
19315,19304,variation,817189028257,EVP 3D BLUEBERRY APPLE-EVOGEN,9,9,instock,instock,True,no_omitido
18928,18927,variation,7500634002065,LEAN GAINER 8 LIBRAS VAINILLA,2,2,outofstock,instock,True,si
19259,19253,variation,817189028523,AMINO K.E.M SOUR CANDY- EVOGEN,8,8,instock,instock,True,no_omitido
13372,0,simple,810014673165,CHROMIO PICOLINATE 10000 MG 240 CAPSULAS,4,4,outofstock,instock,True,si
20448,20442,variation,842595135534,C4 PERFORMANCE 16OZ FROST BITTEN CITRUS,73,62,instock,instock,True,si
19875,19871,variation,748927051308,AMINO ENERGY WATERMELON 585G,98,98,instock,instock,True,no_omitido
19356,19354,variation,810121051306,CARNIGEN REMIUN LIQUID SOUR GUMMIES-EVOGEN,36,36,instock,instock,True,no_omitido
19009,19008,variation,612590416668,PREMIUN WHEY VAINILLA 26 SERVING- LANDERFIT,16,14,instock,instock,True,si
20476,20464,variation,842595133608,C4 PERFORMANCE ENERGY 16OZ HAWAIIAN PUNCH TROPIC JUICE,70,58,instock,instock,True,si
19874,19871,variation,748927023374,AMINO ENERGY FRUIT FUSION 585G,112,112,instock,instock,True,no_omitido
9546,0,simple,850046504723,"TRIBULUS 1400, 90 CAPSULAS NUTREX",2,2,outofstock,instock,True,si
268,0,simple,853237000745,CREATINA MONOHIDRATADA DRIVE 300G NUTREX,1985,1969,instock,instock,True,si
19089,19081,variation,748927063486,AMINO ENERGY SPARLING AE PEACH BELLINI OPTIMUN NUTRICION,679,679,instock,instock,True,no_omitido
20385,19183,variation,705016353217,ISO 100 VAINILLA 5 LBS DYMATIZE,115,115,instock,instock,True,no_omitido
19084,19081,variation,748927062731,AMINO ENERGY RTD SPARLING AE JUCY CHERRY OPTIMUN NUTRICION,461,458,instock,instock,True,si
11149,0,simple,829263210137,CATEGORY 5 - CREATINA POWDER STIM FREE PREWORKOUT - MUSCLEOLOGY,34,34,instock,instock,True,no_omitido
20475,20464,variation,842595131277,C4 PERFORMANCE 16OZ POPSICLE GRAPE,256,245,instock,instock,True,si
11858,0,simple,810121055113,VITAMIN D3 EVOGEN,40,40,instock,instock,True,no_omitido
19312,19304,variation,817189024617,EVP 3D PEACH RINGS-EVOGEN,5,5,outofstock,instock,True,si
19001,19000,variation,860007448911,RAW-SLEEP-STRAWBERRY-KIWI (SOPORTE PARA UN MEJOR SUEÃO REPARADOR),15,15,instock,instock,True,no_omitido
20431,20430,variation,842595106619,C4 PERFORMANCE ENERGY 16OZ ARCTIC SNOW CONE,63,62,instock,instock,True,si
19186,19183,variation,705016353170,ISO 100 STRAWERRY 5 LBS DYMATIZE,0,0,outofstock,outofstock,True,si
10709,0,simple,860007448966,RAW TEST,0,0,outofstock,outofstock,True,si
19280,19277,variation,810121057018,HIDRATACION TANGERINE 30M SERVING,15,15,instock,instock,True,no_omitido
8555,0,simple,666222941004,XPEL CAPS (MHP),81,81,instock,instock,True,no_omitido
19414,19402,variation,817189024587,EVPXTREME SOUR WATERMELON,5,5,outofstock,instock,True,si
18865,18861,variation,713101732144,VEGANA ULTRA DE COCO 3 LBS IMPULSE,5,5,outofstock,instock,True,si
19311,19304,variation,810121053560,EVP 3D STRAWBERRY LEMONADE-EVOGEN,8,8,instock,instock,True,no_omitido
19855,19843,variation,748927051704,AMINO ENERGY GREEN APPLE 270 G,29,28,instock,instock,True,si
19045,19043,variation,850016779366,BROWNIE + COLLAGEN RED VELVET,79,79,instock,instock,True,no_omitido
11830,0,simple,748927023848,CREATINA ON POWDER MICRONISADA,389,389,instock,instock,True,no_omitido
19747,19744,variation,810121056899,ISOJECT BIRTHDAY CAKE 1.71 LBS ISOJET EVOGEN,6,6,outofstock,instock,True,si
18892,18887,variation,703556204938,CREATINA STIM PRO 52 SERV. ORANGE IMPULSE,19,19,instock,instock,True,no_omitido
19046,19043,variation,860008412199,BROWNIE LEMON ZEST,88,88,instock,instock,True,no_omitido
19074,19071,variation,748927066586,PROTEIN SHAKER VAINILLA 325 ML OPTIMUN NUTRICION,508,496,instock,instock,True,si
19073,19071,variation,748927069815,PROTEIN SHAKE STRAWBERRY 325ML OPTIMUN NUTRICION,112,99,instock,instock,True,si
9208,0,simple,612590416071,TRIBULUS TERRESTRIS STI 90-CAPSULAS- LANDERFIT,25,25,instock,instock,True,no_omitido
9200,0,simple,612590416019,"OMEGA 3, ACEITE DE PESCADO LANDERFIT",118,118,instock,instock,True,no_omitido
19856,19843,variation,748927026665,AMINO ENERGY FRUIT FUSION 270 G,139,139,instock,instock,True,no_omitido
11248,0,simple,850030689016,ASHWAGANDHA KSM-66 REVIVE,26,26,instock,instock,True,no_omitido
19782,19778,variation,859400007559,ISOFIT VAINILLA ICE CREAM 2 LBS. NUTREX,20,18,instock,instock,True,si
19803,19800,variation,850060362675,WHEY 100% COOKIES AND CREAN 2LBS NUTREX,28,27,instock,instock,True,si
18953,18946,variation,829263000028,NITRO UP BLEND 5 LBS - COOKIES & CREAM - MUSCLEOLOGY,7,7,instock,instock,True,no_omitido
18913,18910,variation,181030000168,XTEND ORIGINAL 90 SERV. BLUE RASBERRY ICE,8,8,instock,instock,True,no_omitido
11803,0,simple,713101732076,PROTEINA VEGANA DE 4 LBS PANCAKE IMPULSE,11,11,instock,instock,True,no_omitido
19366,19364,variation,810121055328,EVP-AQ TROPIC THUNDER- EVOGEN,4,3,outofstock,instock,True,si
18891,18887,variation,608631655431,CREATINA STIM PRO WATERMELON IMPULSE,42,42,instock,instock,True,no_omitido
20407,11808,variation,891597006137,RTD CARNIVOR 500ML FRUIT CEREAL (MUSCLE MEDS),780,756,instock,instock,True,si
13114,0,simple,850026029925,CREATINA MONOHIDRATE 200 SERVING NUTREX,396,396,instock,instock,True,no_omitido
19291,19289,variation,817189020176,GLYCOJET WATERMELON,8,8,instock,instock,True,no_omitido
18979,18977,variation,850044753857,PROTEINA DE 4.8 LB VAINILLA PRIMEVAL LABS,74,70,instock,instock,True,si
19088,19081,variation,748927068269,AMINO ENERGY SPARLING AE BERRY BURST OPTIMUN NUTRICION,509,509,instock,instock,True,no_omitido
19310,19304,variation,810121053997,EVP 3D VICTORY PUNCH- EVOGEN,5,5,outofstock,instock,True,si
19857,19843,variation,748927026658,AMINO ENERGY CONCOR GRAPE 270 G,14,14,instock,instock,True,no_omitido
19294,19289,variation,817189020206,GLYCOJECT DE 2LB WILD BERRY EVOGEN,8,8,instock,instock,True,no_omitido
18957,18955,variation,631656716962,MASS TECH EXTREME 2000-6 LBS TRIPLE CHOCOLATE BROWNIE,34,34,instock,instock,True,no_omitido
18189,18186,variation,703556204846,PROLIVE BIO5 CARAMEL PEANUT BUTTER DE 5 LBS IMPULSE,53,53,instock,instock,True,no_omitido
19258,19253,variation,810121055755,AMINO K.E.N CRAN BERRY POMEGRANATE- EVOGEN,3,3,outofstock,instock,True,si
11230,0,simple,850030689252,LIVER HEALTHY REVIVE,16,16,instock,instock,True,no_omitido
20432,20430,variation,842595121650,C4 PERFORMANCE 16OZ FRUIT PUNCH,54,54,instock,instock,True,no_omitido
20445,20442,variation,842595131741,C4 PERFORMANCE 16OZ ATOMIC GRAPE,58,58,instock,instock,True,no_omitido
20447,20442,variation,842595131727,C4 PERFORMANCE 16OZ ELECTRIC SOUR APPLE,59,62,instock,instock,True,si
19044,19043,variation,850016779373,BROWNIE CHOCOLATE FUDGE,274,274,instock,instock,True,no_omitido
19415,19402,variation,817189025270,EVP XTREME N.O.TROPIC THUNDER- EVOGEN,8,8,instock,instock,True,no_omitido
19749,19744,variation,810121056660,ISOJECT CHOCOLATE - 25 SRV EVOGEN,3,3,outofstock,instock,True,si
19011,19008,variation,612590415845,"PREMIUM WHEY STRAWBERRY 2,06 LBS-LANDERFIT",8,7,instock,instock,True,si
8690,0,simple,853237000202,NUTREX LIPO-6 CLA 45CT NUTREX,2,2,outofstock,instock,True,si
140,0,simple,811213027513,BPI MICRONIZED CREATINA 600G UNFLAVORED,111,111,instock,instock,True,no_omitido
14421,0,simple,612590415852,GLUCOSAMINA 120 CAPSULAS- LANDERFIT,42,42,instock,instock,True,no_omitido
19083,19081,variation,748927060621,AMINO ENERGY RTD SPANLING AE GRAPE OPTIMUN NUTRICION,335,335,instock,instock,True,no_omitido
11154,0,simple,829263227135,DTOX KIDNEY DETOXIFIER MUSCLEOLOGY,31,31,instock,instock,True,no_omitido
